Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,12494141,0,2004
LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,4197600,240000,2004
K. CHANDRA SHAKHER RAO,Karimnagar,TRS,0,Graduate,8598858,2559507,2004
ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,5736332,0,2004
KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,6415254,0,2004
"PALANISAMY, K. C.",Karur,DMK,0,5th Pass,546569007,63920476,2004
P. KARUNAKARAN,Kasaragod,CPM, 20 ,Post Graduate,5190249,10330,2004
NIKHIL KUMAR CHOUDHARY,Katihar,BJP, 1 ,Graduate,4535938,0,2004
Mahboob Zahedi,Katwa,CPM,0,10th Pass,2705606,332383,2004
ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,384400,32000,2004
ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,818420,69086,2004
RABINDRA KU. RANA,Khagaria,RJD, 1 ,Graduate Professional,6336271,0,2004
DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,5183173,986766,2004
BHALCHANDRA YADAVA,Khalilabad,BSP, 10 ,Graduate,651000,260630,2004
RENUKA CHOWDHURY,Khammam,INC, 1 ,Post Graduate,136912161,300414,2004
NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,4510192,947000,2004
KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,7414005,88719,2004
ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,52230281,12332651,2004
RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,2916963,246079,2004
SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,3328161,0,2004
ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,11589733,0,2004
TASLIMUDDIN,Kishanganj,RJD, 9 ,Literate,5525834,1012986,2004
BABULAL MARANDI,Kodarma,BJP,0,Graduate,500000,460000,2004
SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,1694686,0,2004
A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,28468000,0,2004
K.H. MUNIYAPPA,Kolar,INC,0,Graduate,6187039,397195,2004
MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP, 2 ,Graduate,8842586,986985,2004
E.  V.  ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,36937860,764653,2004
K. VIRUPAXAPPA,Koppal,INC,0,10th Pass,5230246,1046888,2004
GIRIDHAR GAMANG,Koraput,INC,0,Graduate,459812,0,2004
RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,5734998,664908,2004
K. SURESH KURUP,Kottayam,CPM,0,Graduate Professional,1818560,993202,2004
Jyotirmoyee Sikdar,Krishnagar,CPM,0,12th Pass,7545592,1036080,2004
SUGAVANAM. E. G,Krishnagiri,DMK, 1 ,Others,5121291,1991138,2004
KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,15941801,681000,2004
NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,121295000,0,2004
GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,9730221,719633,2004
THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,6139045,230415,2004
DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,1467028,0,2004
DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,3945099,103145,2004
DAROGA PRASAD SAROJ,Lalganj,SP, 1 ,Graduate,614485,130918,2004
PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,1960659,5585583,2004
RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,9238423,364452,2004
ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,5899232,0,2004
SHARANJIT SINGH DHILLON,Ludhiana,SAD, 1 ,Graduate Professional,9842137,1176489,2004
UMAKANT YADAV,Machhlishahr,BSP, 8 ,Post Graduate,28462566,0,2004
BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,138545000,11559000,2004
LALU PRASAD,Madhepura,RJD, 7 ,Graduate Professional,8768340,22041400,2004
DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,1859000,300000,2004
DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,14420628,0,2004
KUPPUSAMI. C,Madras North,DMK, 1 ,12th Pass,9537668,156696,2004
"BAALU, T. R.",Madras South,DMK,0,Graduate,27444755,0,2004
D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,65075830,3000000,2004
PRABHUNATH SINGH,Maharajganj,JD(U), 11 ,12th Pass,3296840,530175,2004
PANKAJ,Maharajganj,BJP,0,12th Pass,14174401,473788,2004
AJIT  JOGI,Mahasamund,INC, 2 ,Graduate Professional,8835009,0,2004
INDERJIT SINGH,Mahendragarh,INC,0,Graduate Professional,55105874,1108417,2004
MULAYAM SINGH YADAV,Mainpuri,SP, 2 ,Post Graduate,11541224,41235,2004
A. B. A. Ghani Khan Choudhury,Malda,INC, 1 ,Graduate,4115704,4187744,2004
HARISCHANDRA DEVRAM CHAVAN,Malegaon,BJP,0,Graduate,3312291,9033,2004
PRATIBHA SINGH,Mandi,INC,0,Graduate,230288018,1542808,2004
FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,3091035,0,2004
DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,2650506,726872,2004
CHAUDHARY TUSHARBHAI AMARSINHBHAI,Mandvi,INC,0,Graduate Professional,1817815,400372,2004
AMBAREESH M. H.,Mandya,INC,0,Not Given,7394819,321600,2004
NARAYAN CHANDRA BORKATAKY,Mangaldoi,BJP,0,Graduate,5595818,301647,2004
D. V. SADANANDA GOWDA,Mangalore,BJP,0,Graduate Professional,4639359,968423,2004
T. K. HAMZA,Manjeri,CPM,0,Graduate Professional,780480,434704,2004
MANVENDRA SINGH,Mathura,INC,0,12th Pass,15387530,281228,2004
Basudeb Barman,Mathurapur,CPM,0,Post Graduate,2772156,0,2004
C. S. SUJATHA,Mavelikara,CPM, 4 ,Graduate Professional,669613,18000,2004
MANI SHANKAR AIYAR,Mayiladuturai,INC,0,Post Graduate,19391699,380411,2004
SUDAM MARNDI,Mayurbhanj,JMM, 4 ,12th Pass,1780596,0,2004
A. NARENDRA,Medak,TRS,0,Graduate,2020000,500000,2004
MOHD. SHAHID,Meerut,BSP,0,5th Pass,15220720,121146,2004
JIVABHAI AMBALAL PATEL,Mehsana,INC,0,10th Pass,34602412,0,2004
Prabodh Panda,Midnapore,CPI,0,Graduate,1297328,0,2004
JAIPAL REDDY SUDINI,Miryalguda,INC,0,Post Graduate,12264007,1546865,2004
NARENDRA KUMAR KUSHWAHA,Mirzapur,BSP,0,12th Pass,7099,0,2004
ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,1419108,326547,2004
VANLALZAWMA,Mizoram,MNF,0,Post Graduate,2127713,0,2004
JAI PRAKASH,Mohanlalganj,SP,0,Graduate,16583667,1883335,2004
JAY PRAKASH NARAYAN YADAV,Monghyr,RJD, 1 ,Post Graduate,1880178,172602,2004
DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,1349151,0,2004
ASHOK CHHAVIRAM ARGAL,Morena,BJP, 2 ,12th Pass,3220504,432625,2004
ALEMAO CHURCHIL BRAZ,Mormugao,INC, 1 ,12th Pass,8675904,8172004,2004
AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,3669358,0,2004
LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,1930115,0,2004
GOVINDA,Mumbai North,INC, 1 ,Graduate,145298405,25000000,2004
EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,2045861,0,2004
KAMAT GURUDAS,Mumbai North East,INC,0,Graduate Professional,33894725,0,2004
SUNIL DUTT,Mumbai North West,INC, 1 ,Graduate,204321510,0,2004
MOHAN RAWALE,Mumbai South Central,SHS, 4 ,10th Pass,5589646,145918,2004
P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,6392358,1232410,2004
CH. MUNAWWAR HASAN,Muzaffarnagar,SP, 1 ,10th Pass,4217051,0,2004
GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,33987410,0,2004
C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,263999,21750,2004
Alakesh Das,Nabadwip,CPM,0,Post Graduate,278876,18382,2004
W. WANGYUH,Nagaland,NPF,0,Post Graduate,2147000,0,2004
"VIJAYAN, A. K. S.",Nagapattinam,DMK,0,12th Pass,3191000,1013614,2004
DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,6545314,2339000,2004
BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,1303714,0,2004
BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,3076650,0,2004
VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,10020540,2898977,2004
K. C. SINGH BABA,Nainital,INC,0,12th Pass,23708052,2906552,2004
NITISH KUMAR,Nalanda,JD(U),0,Graduate,4389206,672674,2004
SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI, 1 ,Graduate Professional,1990000,962600,2004
S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,64646900,13374000,2004
MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,63961169,0,2004
PINGALE DEVIDAS ANANDRAO,Nashik,NCP, 1 ,10th Pass,19757718,5607433,2004
VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,1797522,135728,2004
PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,5395726,0,2004
AJAY MAKAN,New Delhi,INC, 1 ,Post Graduate,30234158,650000,2004
PRABHU R.,Nilgiris,INC,0,Post Graduate,102440054,0,2004
MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,142718537,32560000,2004
RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,3679236,336600,2004
PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,767000,25000,2004
SREENIVASULU REDDY MAGUNTA,Ongole,INC, 2 ,Graduate,141768943,0,2004
NARHIRE KALPANA RAMESH,Osmanabad,SHS, 5 ,10th Pass,3234992,510681,2004
S. AJAYA KUMAR,Ottapalam,CPM, 3 ,12th Pass,1083876,780000,2004
SAJJAN KUMAR,Outer Delhi,INC, 1 ,Literate,1306055,520477,2004
MANI CHARENAMEI,Outer Manipur,IND,0,Graduate,205000,0,2004
BALESHWAR YADAV,Padrauna,National Loktantrik Party,0,Graduate,6907100,500000,2004
MANOJ KUMAR,Palamau,RJD,0,Graduate,1825000,125000,2004
N. N. KRISHNADAS,Palghat,CPM, 4 ,Graduate,1503105,0,2004
PUSP JAIN,Pali,BJP,0,Graduate Professional,1654429,222611,2004
SHRIPAD YESSO NAIK,Panaji,BJP,0,Graduate,4537329,598785,2004
ATHAWALE RAMDAS BANDU,Pandharpur,RPI(A),0,Graduate,2656172,0,2004
Gurudas Dasgupta,Panskura,CPI,0,Post Graduate,3668778,0,2004
TUKARAM GANPATRAO RENGE PATIL,Parbhani,SHS, 13 ,Post Graduate,6060000,1950000,2004
KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,Parvathipuram,INC,0,Post Graduate,220678000,0,2004
KANODIA MAHESHKUMAR MITHABHAI,Patan,BJP,0,Literate,11842032,803206,2004
PRENEET KAUR,Patiala,INC,0,Graduate,412867297,0,2004
RAM KRIPAL YADAV,Patna,RJD,0,Graduate,1400031,204942,2004
G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,19464700,0,2004
"RAJA, A.",Perambalur,DMK,0,Graduate Professional,5759538,1331049,2004
AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,152098686,2253320,2004
CHARANJIT SINGH ATWAL,Phillaur,SAD,0,Graduate Professional,16469765,710013,2004
SUGRIB SINGH,Phulbani,BJD,0,Graduate,869000,326000,2004
ATIQUE AHAMAD,Phulpur,SP, 36 ,8th Pass,33704071,0,2004
MANEKA GANDHI,Pilibhit,BJP,0,12th Pass,66763700,0,2004
"KRISHNAN, DR. C",Pollachi,MDMK,0,Graduate Professional,2686691,200000,2004
RAMADASS. M.,Pondicherry,PMK,0,Doctorate,3217000,247304,2004
PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),Porbandar,BJP,0,8th Pass,7041540,1738534,2004
AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP, 26 ,Literate,2169847,0,2004
"REGUPATHY, S.",Pudukkottai,DMK, 2 ,Graduate Professional,15938121,1326075,2004
KALMADI SURESH,Pune,INC, 1 ,Graduate,39947625,1700000,2004
BRAJA KISHORE TRIPATHY,Puri,BJD,0,Post Graduate,4197384,0,2004
UDAY SINGH,Purnea,BJP,0,12th Pass,30654143,731440,2004
Bir Singh Mahato,Purulia,AIFB, 2 ,Post Graduate,1474102,314287,2004
P. RAJENDRAN,Quilon,CPM,0,Post Graduate,2242499,227054,2004
SONIA GANDHI,Rae Bareli,INC,0,Others,8568694,0,2004
A.VENKATESH NAIK,Raichur,INC,0,12th Pass,5615514,447987,2004
Priya Ranjan Dasmunsi,Raiganj,INC,0,Post Graduate,7504280,3000000,2004
VISHNUDEO SAI,Raigarh,BJP,0,12th Pass,899500,70546,2004
RAMESH BAIS,Raipur,BJP,0,12th Pass,9690604,0,2004
ARUNA KUMAR VUNDAVALLI,Rajahmundry,INC, 2 ,Graduate Professional,23431318,881017,2004
ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,9709190,1160909,2004
SURESH PRABHAKAR PRABHU,Rajapur,SHS, 1 ,Doctorate,4520169,0,2004
LAKSHMAN SINGH,Rajgarh,BJP,0,Graduate,49014404,21893,2004
DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,7971781,110729,2004
HEMLAL MURMU,Rajmahal,JMM, 1 ,Not Given,1680400,0,2004
PRADEEP GANDHI,Rajnandgaon,BJP,0,Graduate,1699397,486000,2004
BHAVANI RAJENTHIRAN. M. S. K.,Ramanathapuram,DMK,0,Post Graduate,15150840,500000,2004
P. JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,84275000,300000,2004
MOHITE SUBODH BABURAO,Ramtek,SHS, 4 ,Graduate Professional,4472038,0,2004
SUBODH KANT SAHAY,Ranchi,INC,0,Graduate,12291253,829561,2004
RANI. K,Rasipuram,INC, 1 ,Post Graduate,13775000,2077289,2004
ANANT GEETE,Ratnagiri,SHS,0,12th Pass,5518754,1200000,2004
CHANDRAMANI TRIPATHI,Rewa,BJP, 1 ,Graduate Professional,1062399,40000,2004
LALCHANDRA,Robertsganj,BSP,0,Literate,88030,165515,2004
BHUPINDER SINGH,Rohtak,INC, 1 ,Graduate Professional,9486571,457151,2004
SUKHDEV SINGH LIBRA,Ropar,SAD,0,10th Pass,10332944,0,2004
RAM CHANDRA PASWAN,Rosera,LJNSP,0,10th Pass,4204913,0,2004
MADHUSUDAN MISTRY,Sabarkantha,INC,0,Post Graduate,1826173,125000,2004
VIRENDRA KUMAR,Sagar,BJP,0,Post Graduate,1429786,0,2004
RASHEED MASOOD,Saharanpur,SP, 1 ,Post Graduate,26175490,3050977,2004
RANJEET RANJAN,Saharsa,LJNSP,0,12th Pass,2549000,0,2004
TUFANI SAROJ,Saidpur,SP,0,Graduate,4558332,0,2004
THANGKABALU K. V.,Salem,INC,0,Post Graduate,56185835,0,2004
HARIKEVAL PRASAD,Salempur,SP,0,Not Given,3037000,0,2004
MAHAVEER BHAGORA,Salumber,BJP, 1 ,Post Graduate,3026777,0,2004
ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,6794434,0,2004
PRASANNA ACHARYA,Sambalpur,BJD,0,Graduate Professional,10184422,874591,2004
PRO. RAM GOPAL YADAV,Sambhal,SP,0,Doctorate,7953884,475000,2004
Patil Prakashbapu Vasantdada,Sangli,INC,0,Graduate,35635000,0,2004
SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,13984341,0,2004
GUHARAM AJGALLE,Sarangarh,BJP,0,Graduate Professional,1768900,0,2004
MEIRA KUMAR,Sasaram,INC,0,Post Graduate,28956730,3600000,2004
LAXMANRAO PANDURANG JADHAV (PATIL),Satara,NCP,0,10th Pass,9925739,50403,2004
GANESH SINGH,Satna,BJP, 2 ,Post Graduate,2548143,236038,2004
NAMO NARAIN,Sawai Madhopur,INC,0,Post Graduate,5234897,400000,2004
M. ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,4250700,810500,2004
NEETA PATERIYA,Seoni,BJP,0,Post Graduate,3239103,41965,2004
Santasri Chatterjee,Serampore,CPM,0,Graduate,1698395,0,2004
ILIYAS AZMI,Shahabad,BSP,0,Graduate,19683626,0,2004
DALPAT SINGH PARASTE,Shahdol,BJP,0,Graduate,6811000,0,2004
KUNWAR JITIN PRASAD,Shahjahanpur,INC,0,Post Graduate,17113691,652823,2004
THAWAR  CHAND GEHLOT,Shajapur,BJP,0,Graduate,2016554,0,2004
SITARAM SINGH,Sheohar,RJD,0,Graduate,4624000,0,2004
PATY RIPPLE KYNDIAH,Shillong,INC,0,Graduate,4078978,0,2004
S. BANGARAPPA,Shimoga,BJP, 2 ,Graduate,33302318,8298000,2004
DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,BJP,0,10th Pass,37495282,64522,2004
SARVEY SATHYANARAYANA,Siddipet,INC,0,Graduate Professional,1110000,480000,2004
CHANDRAPRATAP SINGH,Sidhi,BJP,0,12th Pass,795619,126764,2004
SUBHASH MEHARIA,Sikar,BJP,0,Graduate,13267020,534287,2004
NAKUL DAS RAI,Sikkim,SDF,0,Graduate,6890766,1494475,2004
SONTOSH MOHAN DEV,Silchar,INC,0,Graduate,12356601,170759,2004
DHANI RAM SHANDIL,Simla,INC,0,Doctorate,9272958,958,2004
BAGUN SUMBRAI,Singhbhum,INC,0,10th Pass,4532035,200000,2004
ATMA SINGH GILL,Sirsa,INC,0,5th Pass,1302714,280000,2004
SITARAM YADAV,Sitamarhi,RJD, 2 ,Graduate Professional,4805008,404410,2004
RAJESH VERMA,Sitapur,BSP,0,Post Graduate,4850000,1004319,2004
"CHIDAMBARAM, P.",Sivaganga,INC,0,Post Graduate,179861587,0,2004
"RAVICHANDRAN, A",Sivakasi,MDMK,0,Graduate,3058910,0,2004
MOHAMMAD SHAHABUDDIN,Siwan,RJD, 19 ,Doctorate,3447000,428930,2004
KISHAN SINGH SANGWAN,Sonepat,BJP,0,Post Graduate,7777238,847138,2004
VIJAY KUMAR MALHOTRA,South Delhi,BJP,0,Doctorate,8988478,0,2004
OMAR ABDULLAH,Srinagar,JKN,0,Graduate,19684236,54998,2004
KRISHNASWAMY. A,Sriperumbudur,DMK, 2 ,Graduate Professional,2214854,0,2004
MOHD. TAHIR,Sultanpur,BSP, 1 ,12th Pass,116697,0,2004
JUAL ORAM,Sundargarh,BJP, 3 ,10th Pass,5746675,800000,2004
KASHIRAM RANA,Surat,BJP,0,Graduate Professional,7677857,0,2004
NAND KUMAR SAI,Surguja,BJP, 1 ,Post Graduate,3124000,610000,2004
Seth Lakshman Chandra,Tamluk,CPM,0,Post Graduate,887175,0,2004
RATTAN SINGH,Tarn Taran,SAD, 1 ,Graduate Professional,29516341,0,2004
MANABENDRA SHAH,Tehri Garhwal,BJP,0,12th Pass,347563683,0,2004
BALASHOWRY VALLABHANENI,Tenali,INC,0,Graduate,103238914,350000,2004
"APPADURAI, M.",Tenkasi,CPI,0,Graduate,1263017,0,2004
MONI KUMAR SUBBA,Tezpur,INC,0,8th Pass,186443565,0,2004
PARANJAPE PRAKASH VISHVANATH,Thane,SHS,0,Graduate,5905573,1382266,2004
PALANIMANICKAM. S. S.,Thanjavur,DMK,0,Graduate Professional,3516998,535689,2004
DHANARAJU. K,Tindivanam,PMK,0,Doctorate,2658860,0,2004
SUBBULAKSHMI JAGADEESAN,Tiruchengode,DMK,0,Graduate Professional,8734674,0,2004
GANESAN. L,Tiruchirappalli,MDMK, 2 ,Graduate Professional,1900000,0,2004
"DHANUSKODI ATHITHAN, R.",Tirunelveli,INC, 1 ,Post Graduate,16322132,5573213,2004
CHINTA MOHAN,Tirupathi,INC,0,Graduate Professional,3982900,1325256,2004
"VENUGOPAL, D.",Tiruppattur,DMK,0,8th Pass,7685000,994803,2004
KAILASH MEGHWAL,Tonk,BJP,0,Post Graduate,10950282,0,2004
C. K. CHANDRAPPAN,Trichur,CPI,0,Graduate,8812606,0,2004
BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,1188586,0,2004
KHAGEN DAS,Tripura West,CPM,0,Post Graduate,1423083,0,2004
S. MALLIKARJUNAIAH,Tumkur,BJP,0,Post Graduate,9090000,40000,2004
PURANO AGITOK SANGMA,Tura,AITC,0,Post Graduate,35032125,0,2004
CH. LAL SINGH,Udhampur,INC,0,Graduate,5400000,500000,2004
MANORAMA MADHWARAJ,Udupi,BJP,0,Graduate,13751985,2700000,2004
DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,2794387,0,2004
Hannan Mollah,Uluberia,CPM,0,Post Graduate,621879,0,2004
BRAJESH PATHAK,Unnao,BSP, 4 ,Graduate Professional,2776872,5222,2004
RAGHUBANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,4871420,481535,2004
DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,1241800,400000,2004
"KADER MOHIDEEN, K. M",Vellore,DMK,0,Post Graduate,2800000,450000,2004
SHIVRAJ SINGH,Vidisha,BJP, 2 ,Post Graduate,5814600,287640,2004
JANARDHANA REDDY NEDURUMALLI,Visakhapatnam,INC,0,Graduate Professional,10916531,11212,2004
Susmita Bauri,Vishnupur,CPM,0,Graduate Professional,33000,10000,2004
WAGMARE SURESH GANAPAT,Wardha,BJP,0,Graduate,441000,447393,2004
GAWALI (PATIL) KU.  BHAVANA PUNDLIKRAO,Washim,SHS, 1 ,Graduate,18808750,748904,2004
RATHOD HARISING NASARU,Yavatmal,BJP,0,Graduate,3801000,945123,2004
